Year,Reporter,Reporter Code,Partner,Partner Code,Commodity Code,Export,Import,World Exports,World Imports,Reporter_std,Partner_std,RTA_Name,Date of Entry into Force (G),Original signatories,Coverage,RTA Composition,Signatory1,Signatory2,Signatory1_std,Signatory2_std,Agreement Year,Total Partner Trade,Total World Trade,Agreement_Index,key,country,date,GDP,country_std,key_un
2000.0,China,156.0,Costa Rica,188.0,TOTAL,65183954.0,10312491.0,249203000000.0,225094000000.0,China,Costa Rica,China - Costa Rica ,2011-08-01,China; Costa Rica,Goods & Services,Bilateral,China,Costa Rica,China,Costa Rica,2011.0,75496445.0,474297000000.0,-11.0,China-Costa Rica,China,2000,1211346869605.24,China,China-Costa Rica
2000.0,China,156.0,Georgia,268.0,TOTAL,1541602.0,2350255.0,249203000000.0,225094000000.0,China,Georgia,China - Georgia ,2018-01-01,China; Georgia,Goods & Services,Bilateral,China,Georgia,China,Georgia,2018.0,3891857.0,474297000000.0,-18.0,China-Georgia,China,2000,1211346869605.24,China,China-Georgia
2000.0,China,156.0,Iceland,352.0,TOTAL,17611071.0,14140720.0,249203000000.0,225094000000.0,China,Iceland,Iceland - China,2014-07-01,China; Iceland,Goods & Services,Bilateral,China,Iceland,China,Iceland,2014.0,31751791.0,474297000000.0,-14.0,China-Iceland,China,2000,1211346869605.24,China,China-Iceland
2000.0,China,156.0,New Zealand,554.0,TOTAL,416031900.0,638272928.0,249203000000.0,225094000000.0,China,New Zealand,China - New Zealand,2008-10-01,China; New Zealand,Goods & Services,Bilateral,China,New Zealand,China,New Zealand,2008.0,1054304828.0,474297000000.0,-8.0,China-New Zealand,China,2000,1211346869605.24,China,China-New Zealand
2000.0,China,156.0,Pakistan,586.0,TOTAL,670317458.0,492180391.0,249203000000.0,225094000000.0,China,Pakistan,Pakistan - China,2007-07-01,China; Pakistan,Goods & Services,Bilateral,China,Pakistan,China,Pakistan,2007.0,1162497849.0,474297000000.0,-7.0,China-Pakistan,China,2000,1211346869605.24,China,China-Pakistan
2000.0,China,156.0,Peru,604.0,TOTAL,144331664.0,560259070.0,249203000000.0,225094000000.0,China,Peru,Peru - China,2010-03-01,China; Peru,Goods & Services,Bilateral,China,Peru,China,Peru,2010.0,704590734.0,474297000000.0,-10.0,China-Peru,China,2000,1211346869605.24,China,China-Peru
2000.0,China,156.0,Rep. of Korea,410.0,TOTAL,11292363934.0,23207405507.0,249203000000.0,225094000000.0,China,South Korea,"China - Korea, Republic of",2015-12-20,"China; Korea, Republic of",Goods & Services,Bilateral,China,"Korea, Republic of",China,South Korea,2015.0,34499769441.0,474297000000.0,-15.0,China-South Korea,China,2000,1211346869605.24,China,China-Rep. of Korea
2000.0,China,156.0,Singapore,702.0,TOTAL,5761040961.0,5059631381.0,249203000000.0,225094000000.0,China,Singapore,China - Singapore,2009-01-01,China; Singapore,Goods & Services,Bilateral,China,Singapore,China,Singapore,2009.0,10820672342.0,474297000000.0,-9.0,China-Singapore,China,2000,1211346869605.24,China,China-Singapore
2000.0,China,156.0,Switzerland,757.0,TOTAL,748004361.0,1462438936.0,249203000000.0,225094000000.0,China,Switzerland,Switzerland - China,2014-07-01,China; Switzerland,Goods & Services,Bilateral,China,Switzerland,China,Switzerland,2014.0,2210443297.0,474297000000.0,-14.0,China-Switzerland,China,2000,1211346869605.24,China,China-Switzerland
2000.0,"China, Hong Kong SAR",344.0,Chile,152.0,TOTAL,533989211.0,138995496.0,202710000000.0,214068000000.0,Hong Kong,Chile,"Hong Kong, China - Chile",2014-10-09,"Chile; Hong Kong, China",Goods & Services,Bilateral,"Hong Kong, China",Chile,Hong Kong,Chile,2014.0,672984707.0,416778000000.0,-14.0,Hong Kong-Chile,"Hong Kong SAR, China",2000,171668164082.555,Hong Kong,"China, Hong Kong SAR-Chile"
2000.0,"China, Hong Kong SAR",344.0,China,156.0,TOTAL,69847988963.0,91776861176.0,202710000000.0,214068000000.0,Hong Kong,China,"China - Hong Kong, China",2003-06-29,"China; Hong Kong, China",Goods & Services,Bilateral,"Hong Kong, China",China,Hong Kong,China,2003.0,161624850139.0,416778000000.0,-3.0,Hong Kong-China,"Hong Kong SAR, China",2000,171668164082.555,Hong Kong,"China, Hong Kong SAR-China"
2000.0,"China, Hong Kong SAR",344.0,"China, Macao SAR",446.0,TOTAL,1188838780.0,166874857.0,202710000000.0,214068000000.0,Hong Kong,Macau,"Hong Kong, China - Macao, China",2017-10-27,"Hong Kong, China; Macao, China",Goods & Services,Bilateral,"Hong Kong, China","Macao, China",Hong Kong,Macau,2017.0,1355713637.0,416778000000.0,-17.0,Hong Kong-Macau,"Hong Kong SAR, China",2000,171668164082.555,Hong Kong,"China, Hong Kong SAR-China, Macao SAR"
